"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R111","0805","33.6256mm","-96.7516mm","33.6256mm","-96.7516mm","34.6416mm","-96.7516mm","T","180.00","0R"
"BAT","KEYSTONE_CR1025","2.25mm","-92.2mm","2.25mm","-92.2mm","2.25mm","-92.2mm","T","180.00","3030"
"D2","SOD-323","-15.99mm","-72.7964mm","-15.99mm","-72.7964mm","-15.99mm","-71.7414mm","T","180.00","1N4148WS"
"C45","0603","-3.175mm","-75.3015mm","-3.175mm","-75.3015mm","-2.4765mm","-75.3015mm","T","180.00","100n"
"C52","0805","27.9146mm","-79.8068mm","27.9146mm","-79.8068mm","26.8986mm","-79.8068mm","T","360.00","100u"
"J3","694106106102","-26.0842mm","10.541mm","-29.1592mm","10.541mm","-29.1592mm","5.041mm","B","360.00","694106106102"
"M2","HIROSE_FX10A-168P-SV(71)","48mm","-37mm","48mm","-37mm","45.4mm","-16.25mm","T","270.00","FX10A-168P-SV(71)"
"C64","0402","66.25mm","-15.5mm","66.25mm","-15.5mm","66.73mm","-15.5mm","T","180.00","100n"
"J1","PCIe_x16_card_edge","72.825mm","-41.07mm","76.8mm","-83.22mm","72.7mm","-82.57mm","T","90.00","PCIe x16"
"R85","0402","63.015mm","-36.45mm","63.015mm","-36.45mm","63.015mm","-35.97mm","T","270.00","0R"
"R84","0402","63.02mm","-38.35mm","63.02mm","-38.35mm","63.02mm","-38.83mm","T","90.00","0R"
"R83","0402","65.821mm","-17.28mm","65.821mm","-17.28mm","65.821mm","-16.8mm","T","270.00","0R"
"R82","0402","65.821mm","-19.2mm","65.821mm","-19.2mm","65.821mm","-19.68mm","T","90.00","0R"
"R81","0402","65.821mm","-21.4867mm","65.821mm","-21.4867mm","65.821mm","-21.0067mm","T","270.00","0R"
"R80","0402","65.821mm","-23.3867mm","65.821mm","-23.3867mm","65.821mm","-23.8667mm","T","90.00","0R"
"R79","0402","65.84mm","-25.7mm","65.84mm","-25.7mm","65.84mm","-25.22mm","T","270.00","0R"
"R61","0402","65.84mm","-27.6mm","65.84mm","-27.6mm","65.84mm","-28.08mm","T","90.00","0R"
"R60","0402","63.07mm","-28.45mm","63.07mm","-28.45mm","63.07mm","-27.97mm","T","270.00","0R"
"R57","0402","63.07mm","-30.4mm","63.07mm","-30.4mm","63.07mm","-30.88mm","T","90.00","0R"
"R56","0402","64.87mm","-32.5mm","64.87mm","-32.5mm","64.87mm","-32.02mm","T","270.00","0R"
"R48","0402","64.87mm","-34.45mm","64.87mm","-34.45mm","64.87mm","-34.93mm","T","90.00","0R"
"R46","0402","64.865mm","-42.05mm","64.865mm","-42.05mm","64.865mm","-42.53mm","T","90.00","0R"
"R44","0402","64.85mm","-40mm","64.85mm","-40mm","64.85mm","-39.52mm","T","270.00","0R"
"J2","QSE-060-01-L-D-A","14.75mm","13mm","14.75mm","13mm","42.3515mm","10.135mm","B","180.00","QSE-060-01-L-D-A"
"D9","SOD-323","-17.4244mm","4.318mm","-17.4244mm","4.318mm","-16.3694mm","4.318mm","T","90.00","1N4148WS"
"C48","0402","44.85mm","9.2mm","44.85mm","9.2mm","44.85mm","8.72mm","T","90.00","100n"
"C47","0402","46mm","9.2mm","46mm","9.2mm","46mm","8.72mm","T","90.00","100n"
"R19","0603","-27.7368mm","8.7122mm","-27.7368mm","8.7122mm","-27.0383mm","8.7122mm","T","180.00","10k"
"RST","B3S-100X","56.65mm","14.2mm","56.65mm","14.2mm","52.675mm","16.45mm","T","360.00","B3S-100X"
"POR","B3S-100X","56.8mm","4.9mm","56.8mm","4.9mm","52.825mm","7.15mm","T","360.00","B3S-100X"
"C1","0402","64.97mm","-68.65mm","64.97mm","-68.65mm","65.45mm","-68.65mm","B","180.00","100n"
"C2","0402","64.97mm","-67.55mm","64.97mm","-67.55mm","65.45mm","-67.55mm","B","180.00","100n"
"C3","0402","64.97mm","-64.65mm","64.97mm","-64.65mm","65.45mm","-64.65mm","B","180.00","100n"
"C4","0402","64.97mm","-63.55mm","64.97mm","-63.55mm","65.45mm","-63.55mm","B","180.00","100n"
"C5","0402","64.97mm","-60.65mm","64.97mm","-60.65mm","65.45mm","-60.65mm","B","180.00","100n"
"C6","0402","64.97mm","-59.55mm","64.97mm","-59.55mm","65.45mm","-59.55mm","B","180.00","100n"
"C7","0402","64.97mm","-56.55mm","64.97mm","-56.55mm","65.45mm","-56.55mm","B","180.00","100n"
"C8","0402","64.97mm","-55.55mm","64.97mm","-55.55mm","65.45mm","-55.55mm","B","180.00","100n"
"M1","HIROSE_FX10A-168P-SV(71)","6mm","-37mm","6mm","-37mm","3.4mm","-16.25mm","T","270.00","FX10A-168P-SV(71)"
"M3","HIROSE_FX10A-168P-SV(71)","27mm","-4.2mm","27mm","-4.2mm","47.75mm","-1.6mm","T","180.00","FX10A-168P-SV(71)"
"Z1","mercury_74x54_module","-264.05mm","-168.25mm","27mm","-37mm","-264.05mm","-168.25mm","T","270.00","Mechanical"
"T1","7498111120R","-19.505mm","-56.65mm","-26.2mm","-56.65mm","-12.81mm","-63.28mm","T","270.00","7498111120R"
"C9","0402","46.35mm","-75.8mm","46.35mm","-75.8mm","46.83mm","-75.8mm","T","180.00","100n"
"C10","0402","51.1mm","-75.8mm","51.1mm","-75.8mm","50.62mm","-75.8mm","T","360.00","100n"
"IC1","TSSOP-14","48.75mm","-79.45mm","48.75mm","-79.45mm","45.9mm","-77.5mm","T","360.00","NTS0104PW"
"LED1","3010SURKMGKC","-31.925mm","-68.55mm","-32.25mm","-68.55mm","-32.25mm","-66.8mm","T","90.00","KPBA-3010SURKMGKC"
"R1","0603","60.3mm","-0.45mm","60.3mm","-0.45mm","60.3mm","-1.1485mm","T","90.00","10k"
"R2","BOURNS-CAY16-J4","42.35mm","-79.1mm","42.35mm","-79.1mm","41.575mm","-77.9mm","T","270.00","22R"
"R17","0603","-9.05mm","-49.95mm","-9.05mm","-49.95mm","-9.7485mm","-49.95mm","T","0.00","150R"
"R16","0603","-9.05mm","-63.25mm","-9.05mm","-63.25mm","-9.7485mm","-63.25mm","T","0.00","150R"
"C18","0402","44.2mm","2.75mm","44.2mm","2.75mm","44.68mm","2.75mm","T","180.00","100n"
"C22","0603","59.85mm","9.6mm","59.85mm","9.6mm","59.1515mm","9.6mm","T","360.00","100n"
"C21","0603","58.25mm","-0.45mm","58.25mm","-0.45mm","58.25mm","-1.1485mm","T","90.00","100n"
"C32","0402","-0.7786mm","-3.35mm","-0.7786mm","-3.35mm","-0.2987mm","-3.35mm","B","180.00","100n"
"C31","0402","-0.8mm","-4.4mm","-0.8mm","-4.4mm","-0.32mm","-4.4mm","B","180.00","100n"
"DONE","3010SURKMGKC","-32.525mm","7.9mm","-32.85mm","7.9mm","-32.85mm","9.65mm","T","90.00","KPBA-3010SURKMGKC"
"J5","WE_692122030100","-19.95mm","-38.2mm","-19.95mm","-38.2mm","-17.4525mm","-34.45mm","T","270.00","692122030100"
"L6","0603","-13.45mm","-31.35mm","-13.45mm","-31.35mm","-14.265mm","-31.35mm","T","360.00","BLM18SG121TN1D"
"Q2","SOT-363","-24.15mm","-69.4mm","-24.15mm","-69.4mm","-23.2mm","-70.05mm","T","180.00","PMGD780SN"
"Q1","SOT-363","-26.9748mm","12.0142mm","-26.9748mm","12.0142mm","-26.0248mm","11.3642mm","T","180.00","PMGD780SN"
"R12","0402","-22mm","-69.75mm","-22mm","-69.75mm","-22mm","-70.23mm","T","90.00","10k"
"R13","0402","-26.25mm","-69mm","-26.25mm","-69mm","-26.25mm","-68.52mm","T","270.00","10k"
"R9","0402","-29.5mm","-68.55mm","-29.5mm","-68.55mm","-29.02mm","-68.55mm","T","180.00","330R"
"R8","0402","-29.45mm","-70.35mm","-29.45mm","-70.35mm","-28.97mm","-70.35mm","T","180.00","330R"
"R6","0603","-23.8506mm","12.6642mm","-23.8506mm","12.6642mm","-23.1521mm","12.6642mm","T","180.00","330R"
"R7","0603","-27.7368mm","7.493mm","-27.7368mm","7.493mm","-28.4353mm","7.493mm","T","360.00","330R"
"J6","CON-Molex-047272-0001","-25.49mm","-80.8mm","-22.95mm","-72.55mm","-20.35mm","-86.3mm","T","270.00","0472720001"
"C39","0603","-8.342mm","-86.636mm","-8.342mm","-86.636mm","-7.6435mm","-86.636mm","T","180.00","100n"
"C40","0603","-8.342mm","-85.1543mm","-8.342mm","-85.1543mm","-7.6435mm","-85.1543mm","T","180.00","100n"
"C41","0603","-13.1426mm","-72.4722mm","-13.1426mm","-72.4722mm","-13.8411mm","-72.4722mm","T","360.00","100n"
"C42","0603","-8.342mm","-83.5727mm","-8.342mm","-83.5727mm","-7.6435mm","-83.5727mm","T","180.00","100n"
"C43","0603","-8.342mm","-82.091mm","-8.342mm","-82.091mm","-7.6435mm","-82.091mm","T","180.00","100n"
"C44","0603","-3.2mm","-79.75mm","-3.2mm","-79.75mm","-2.5015mm","-79.75mm","T","180.00","100n"
"C46","0603","3.85mm","-81.4mm","3.85mm","-81.4mm","4.5485mm","-81.4mm","T","180.00","100n"
"D7","TPD4E05U06_PASS","-6.3246mm","-77.6986mm","-6.3246mm","-77.6986mm","-5.9396mm","-78.6986mm","T","90.00","TPD4E05U06"
"IC10","SON-15","-15.7mm","-83.65mm","-15.7mm","-83.65mm","-14.775mm","-86.4mm","T","270.00","TPD8S009"
"IC12","TSSOP-14","5.95mm","-69.15mm","5.95mm","-69.15mm","7.9mm","-66.3mm","T","270.00","NTS0104PW"
"IC13","TSSOP-14","6mm","-77.65mm","6mm","-77.65mm","8.85mm","-79.6mm","T","180.00","FIN1019MTCX"
"R23","0603","-13.1666mm","-74.0122mm","-13.1666mm","-74.0122mm","-13.8651mm","-74.0122mm","T","360.00","0R"
"R24","0603","-3.175mm","-73.7362mm","-3.175mm","-73.7362mm","-3.8735mm","-73.7362mm","T","360.00","10R"
"R25","0603","-15.216mm","-77.0176mm","-15.216mm","-77.0176mm","-14.5175mm","-77.0176mm","T","180.00","100k"
"R26","0603","-9.05mm","-76mm","-9.05mm","-76mm","-9.05mm","-76.6985mm","T","90.00","100k"
"R27","0603","-0.85mm","-79.05mm","-0.85mm","-79.05mm","-0.85mm","-78.3515mm","T","270.00","50R"
"R28","0603","-0.85mm","-76mm","-0.85mm","-76mm","-0.85mm","-75.3015mm","T","270.00","50R"
"R29","0603","-20.7mm","-90.8325mm","-20.7mm","-90.8325mm","-20.7mm","-90.134mm","T","270.00","0R"
"R30","0603","-9.05mm","-79.2mm","-9.05mm","-79.2mm","-9.05mm","-79.8985mm","T","90.00","100k"
"R31","0603","-24.984mm","-80.62mm","-24.984mm","-80.62mm","-25.6825mm","-80.62mm","B","360.00","1M"
"R32","0603","-24.984mm","-79.196mm","-24.984mm","-79.196mm","-25.6825mm","-79.196mm","B","360.00","1M"
"R33","0603","-4.7mm","-72.1768mm","-4.7mm","-72.1768mm","-4.0015mm","-72.1768mm","T","180.00","2k49"
"R34","0603","-1.6mm","-72.1768mm","-1.6mm","-72.1768mm","-0.9015mm","-72.1768mm","T","180.00","1k5"
"C28","0603","2.4mm","-72.75mm","2.4mm","-72.75mm","2.4mm","-73.4485mm","T","90.00","100n"
"C29","0603","9.65mm","-72.7mm","9.65mm","-72.7mm","9.65mm","-73.3985mm","T","90.00","100n"
"C30","KEMET_C","39.55mm","-93.2mm","39.55mm","-93.2mm","41.925mm","-93.2mm","T","180.00",""
"LED5","LED0603","36.05mm","-83.45mm","36.05mm","-83.45mm","36.7485mm","-83.45mm","T","180.00","KPT-1608SGC"
"Q4","SOT-23","49.35mm","-89.2mm","49.35mm","-89.2mm","48.4mm","-88.25mm","T","360.00","PMV32UP"
"R37","0603","46.4mm","-85.9mm","46.4mm","-85.9mm","46.4mm","-85.2015mm","T","270.00","100k"
"R38","0603","46.4mm","-89.1mm","46.4mm","-89.1mm","46.4mm","-89.7985mm","T","90.00","100k"
"R39","0603","44.8mm","-89.1mm","44.8mm","-89.1mm","44.8mm","-89.7985mm","T","90.00","100k"
"R40","0603","50.3mm","-85.9mm","50.3mm","-85.9mm","50.3mm","-85.2015mm","T","270.00","100R"
"R41","0603","39.15mm","-83.45mm","39.15mm","-83.45mm","38.4515mm","-83.45mm","T","360.00","470R"
"T2","SOIC-SN8_M","38.85mm","-87.55mm","38.85mm","-87.55mm","41.3mm","-89.455mm","T","180.00","SI4447DY-T1-E3"
"T3","SOT-23","48.95mm","-93.5mm","48.95mm","-93.5mm","48mm","-92.55mm","T","360.00","BSS138AKA"
"IC9","QFN-32","21.3514mm","-26.1mm","21.3514mm","-26.1mm","23.8264mm","-27.85mm","T","180.00","PTN3363BSMP"
"C75","0402","-17.018mm","16.126mm","-17.018mm","16.126mm","-17.018mm","16.606mm","B","270.00","100n"
"C76","0603","-26.1112mm","19.8882mm","-26.1112mm","19.8882mm","-26.1112mm","20.5867mm","B","270.00","10n"
"C77","0402","-24.6888mm","14.859mm","-24.6888mm","14.859mm","-24.6888mm","14.379mm","T","90.00","47p"
"C78","0402","-24.6888mm","16.8148mm","-24.6888mm","16.8148mm","-24.6888mm","17.2948mm","T","270.00","47p"
"C49","0603","-24.3332mm","19.8882mm","-24.3332mm","19.8882mm","-24.3332mm","19.1897mm","B","90.00","100n"
"C50","0402","-11.0316mm","3.275mm","-11.0316mm","3.275mm","-11.0316mm","3.755mm","T","270.00","100n"
"C54","0402","-14.6655mm","4.5212mm","-14.6655mm","4.5212mm","-14.6655mm","4.0412mm","T","90.00","100n"
"C55","0402","-18.2372mm","8.4836mm","-18.2372mm","8.4836mm","-17.7572mm","8.4836mm","T","180.00","100n"
"C56","0402","-10.6426mm","15.101mm","-10.6426mm","15.101mm","-10.6426mm","15.581mm","T","270.00","100n"
"C57","0402","-18.9738mm","11.43mm","-18.9738mm","11.43mm","-18.4938mm","11.43mm","B","180.00","100n"
"C13","0402","63.495mm","-36.9265mm","63.495mm","-36.9265mm","63.975mm","-36.9265mm","T","180.00","100n"
"C12","0402","63.5mm","-37.88mm","63.5mm","-37.88mm","63.98mm","-37.88mm","T","180.00","100n"
"C73","0402","66.25mm","-2.45mm","66.25mm","-2.45mm","66.73mm","-2.45mm","T","180.00","100n"
"C72","0402","66.25mm","-3.4mm","66.25mm","-3.4mm","66.73mm","-3.4mm","T","180.00","100n"
"C71","0402","66.25mm","-5.3mm","66.25mm","-5.3mm","66.73mm","-5.3mm","T","180.00","100n"
"C70","0402","66.25mm","-6.2001mm","66.25mm","-6.2001mm","66.73mm","-6.2001mm","T","180.00","100n"
"C69","0402","66.25mm","-8.4mm","66.25mm","-8.4mm","66.73mm","-8.4mm","T","180.00","100n"
"C68","0402","66.25mm","-9.3mm","66.25mm","-9.3mm","66.73mm","-9.3mm","T","180.00","100n"
"C67","0402","66.25mm","-11.5mm","66.25mm","-11.5mm","66.73mm","-11.5mm","T","180.00","100n"
"C66","0402","66.25mm","-12.4266mm","66.25mm","-12.4266mm","66.73mm","-12.4266mm","T","180.00","100n"
"C65","0402","66.25mm","-14.627mm","66.25mm","-14.627mm","66.73mm","-14.627mm","T","180.00","100n"
"C63","0402","66.3mm","-17.75mm","66.3mm","-17.75mm","66.78mm","-17.75mm","T","180.00","100n"
"C62","0402","66.3mm","-18.7mm","66.3mm","-18.7mm","66.78mm","-18.7mm","T","180.00","100n"
"C61","0402","66.301mm","-21.9535mm","66.301mm","-21.9535mm","66.781mm","-21.9535mm","T","180.00","100n"
"C60","0402","66.301mm","-22.9034mm","66.301mm","-22.9034mm","66.781mm","-22.9034mm","T","180.00","100n"
"C59","0402","66.32mm","-26.1734mm","66.32mm","-26.1734mm","66.8mm","-26.1734mm","T","180.00","100n"
"C37","0402","66.32mm","-27.1234mm","66.32mm","-27.1234mm","66.8mm","-27.1234mm","T","180.00","100n"
"C36","0402","63.55mm","-28.95mm","63.55mm","-28.95mm","64.03mm","-28.95mm","T","180.00","100n"
"C33","0402","63.55mm","-29.9mm","63.55mm","-29.9mm","64.03mm","-29.9mm","T","180.00","100n"
"C20","0402","65.345mm","-33mm","65.345mm","-33mm","65.825mm","-33mm","T","180.00","100n"
"C19","0402","65.345mm","-33.95mm","65.345mm","-33.95mm","65.825mm","-33.95mm","T","180.00","100n"
"D8","TPD4E05U06_PASS","-26.8986mm","15.0876mm","-26.8986mm","15.0876mm","-26.5136mm","14.0876mm","T","90.00","TPD4E05U06"
